account_rewards,date
-532721.7886604965,2018-10-02
-1607312.690933004,2018-10-03
-599851.9082338363,2018-10-04
-71638.8707433492,2018-10-05
61282.82544507086,2018-10-08
-4990184.52890414,2018-10-09
-2205339.515937805,2018-10-10
1742849.7016006708,2018-10-11
-867534.5927849561,2018-10-12
2501011.2584295273,2018-10-15
-32745.754025891423,2018-10-16
-1575060.7686562985,2018-10-17
235254.84780992568,2018-10-18
-179595.33151116967,2018-10-19
-166181.3053945452,2018-10-22
-2560752.001378432,2018-10-23
2159210.815303147,2018-10-24
-1836907.8811412156,2018-10-25
-1895584.4747706503,2018-10-26
441284.12930355966,2018-10-29
1426962.82898134,2018-10-30
932133.9095008373,2018-10-31
-17733.80622033775,2018-11-01
1072801.543067947,2018-11-02
824288.569707796,2018-11-05
3353288.4227867723,2018-11-06
404792.66523103416,2018-11-07
-889664.5987081081,2018-11-08
-2334262.278850794,2018-11-09
-610570.1611076444,2018-11-12
-1284916.5218507499,2018-11-13
437730.12371751666,2018-11-14
1511850.1870324016,2018-11-15
-2428278.065916732,2018-11-16
-2153067.3582492173,2018-11-19
-185859.6533050537,2018-11-20
-91346.60610935092,2018-11-21
1865606.0577383935,2018-11-23
1456978.7936620712,2018-11-26
3855321.228252068,2018-11-27
-102683.10369050503,2018-11-28
827823.0691276044,2018-11-29
1075534.5523145497,2018-11-30
-3334215.658136606,2018-12-03
-404963.7826128155,2018-12-04
-2817915.2921957076,2018-12-06
23090.501235306263,2018-12-07
54663.276374816895,2018-12-10
808717.9344720393,2018-12-11
323240.9568116218,2018-12-12
-2633286.4872195423,2018-12-13
-174986.64359381795,2018-12-14
38056.289737448096,2018-12-17
-931836.9950303733,2018-12-18
-2227433.7857207954,2018-12-19
-1495896.4546422213,2018-12-20
-3290344.788979441,2018-12-21
4924202.91574426,2018-12-24
1104387.3247366995,2018-12-26
-114686.57800298929,2018-12-27
1253144.491497323,2018-12-28
-1322392.143418789,2018-12-31
