date,AAPL,AXP,BA,CAT,CSCO,CVX,DD,DIS,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,V,VZ,WMT,XOM
2016-04-04,-50000,0,-47821,-24500,0,-29609,50000,50000,-26616,-50000,38983,0,-1,50000,-50000,0,50000,0,0,50000,50000,50000,0,-50000,0,0,0,0,0
2016-04-05,0,50000,0,0,0,-50000,50000,-17688,50000,-50000,12550,0,0,0,0,50000,0,0,50000,-50000,0,0,0,-50000,0,0,0,50000,0
2016-04-06,-50000,1,0,0,1,0,0,0,-23533,-50000,17859,0,0,0,-8986,-7537,50000,0,0,0,-7298,50000,0,0,0,0,0,50000,50000
2016-04-07,-11382,0,0,50000,0,-50000,12813,-25468,-43219,-6162,0,50000,0,50000,50000,0,0,0,-5477,0,-4868,0,0,-5439,0,0,0,50000,-50000
2016-04-08,-50000,-19837,0,0,0,-12658,-5303,0,-4842,0,-9240,0,0,0,0,-42463,0,0,0,0,0,0,0,0,50000,0,2204,50000,0
2016-04-11,0,0,0,0,0,-11823,0,0,0,0,0,0,0,0,0,0,0,0,-50000,0,0,1,0,0,16373,0,1,50000,0
2016-04-12,1,0,0,0,0,0,-50000,0,0,0,0,-902,0,0,1,0,0,0,-34232,0,0,50000,0,18984,0,0,50000,0,0
2016-04-13,0,0,0,-32742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10428,0,0,-18984,30811,0,3,50000,0
2016-04-14,-4954,0,0,0,0,0,0,17430,0,0,0,0,0,0,1,0,-50000,0,0,0,-27406,-14268,0,0,50000,0,-7211,0,0
2016-04-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-33497,0,-433,0,0,0,0,0,22108,0,2,50000,0
2016-04-18,0,0,0,0,-1,0,-3435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6438,0,0
2016-04-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16503,0,0,0,0,0,0,0,6137,0,0,50000,0
2016-04-21,0,0,0,0,0,0,-38013,0,0,0,-34876,0,0,0,0,0,0,0,0,0,0,0,0,1,38536,0,50000,0,0
2016-04-22,0,0,0,0,0,0,-38176,0,0,0,-17949,0,0,0,0,0,0,0,0,0,0,1,0,-1,28248,0,1,50000,0
2016-04-25,0,0,0,0,0,0,-10625,0,0,0,-7327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45245,0,0
2016-04-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-27,0,0,0,0,0,0,0,0,0,0,0,-17448,0,-15096,0,0,0,0,0,0,0,0,0,0,17356,0,3,50000,0
2016-04-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-29,0,0,0,0,0,0,0,0,0,0,0,-14348,0,0,-28219,0,0,0,0,0,0,0,0,0,15524,0,3,50000,0
2016-05-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3374,-5659,0
2016-05-09,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-28954,9528
2016-05-10,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16148,26928,0
2016-05-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-12,0,-39356,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16950,0,0,19479,0,1,50000,-9528
2016-05-13,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7240,2239
2016-05-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7151,-2239
2016-05-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-18,0,-17912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,12367,0,-13074,0,0
2016-05-19,0,-8906,0,0,0,0,0,0,0,0,0,0,2,0,-21573,0,0,0,0,0,0,-29540,0,0,22474,0,0,-18224,0
2016-05-20,0,-10913,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8668,0,-2325,-15586,0
2016-05-23,0,-4537,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8195,0,0
2016-05-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-25,0,-22327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,40831,0,0
2016-05-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-01,0,-115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20407,-32114,0
2016-06-02,0,0,0,0,0,0,0,0,0,0,0,-17302,-5,0,0,0,0,0,0,0,0,0,0,0,5938,0,0,50000,0
2016-06-03,0,-3783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10814,0
2016-06-06,0,-14088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13624
2016-06-07,0,-10598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49711,-50000,0
2016-06-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40902,-13624
2016-06-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-13,0,-19354,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,670,0,2,50000,0
2016-06-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21289,2,11675
2016-06-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-22,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,15167,0,-8462
2016-06-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-24,0,0,0,0,0,0,0,-20149,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8013,0,0,50000,-3213
2016-06-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-45892,0,26456
2016-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-14018,0,7910
2016-06-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
