,date,account_value
0,2016-01-04,100000000.0
1,2016-01-05,99867522.5828299
2,2016-01-06,98218079.76171812
3,2016-01-07,95463925.04286107
4,2016-01-08,94289325.27206002
5,2016-01-11,94759318.03464921
6,2016-01-12,95499687.12920307
7,2016-01-13,93466197.48636687
8,2016-01-14,95392511.87113118
9,2016-01-15,93282402.08634087
10,2016-01-19,92908066.10795113
11,2016-01-20,90355544.71676728
12,2016-01-21,91282186.71989343
13,2016-01-22,93058768.28531548
14,2016-01-25,92919180.13738757
15,2016-01-26,93593656.60556774
16,2016-01-27,92309467.24527013
17,2016-01-28,93283638.38715206
18,2016-01-29,95901828.56989452
19,2016-02-01,95278654.32031424
20,2016-02-02,93103889.26975286
21,2016-02-03,94620935.89207995
22,2016-02-04,95470195.89526458
23,2016-02-05,94555129.13900228
24,2016-02-08,93230027.89896351
25,2016-02-09,92984085.40830946
26,2016-02-10,92444358.22355741
27,2016-02-11,90861640.66852178
28,2016-02-12,90725348.21270253
29,2016-02-16,91425786.13734296
30,2016-02-17,92943390.78621353
31,2016-02-18,92535755.80101714
32,2016-02-19,92528603.70008098
33,2016-02-22,93602301.85357603
34,2016-02-23,92441673.41134009
35,2016-02-24,92634142.7987245
36,2016-02-25,93780964.48704848
37,2016-02-26,93578204.75480208
38,2016-02-29,92694881.93510374
39,2016-03-01,95012655.72244772
40,2016-03-02,95478556.24004492
41,2016-03-03,95724252.73272642
42,2016-03-04,96002676.05666289
43,2016-03-07,96334846.88581404
44,2016-03-08,95427585.3289102
45,2016-03-09,95549450.26536307
46,2016-03-10,95580180.98193678
47,2016-03-11,96864685.23438582
48,2016-03-14,96829266.40893683
49,2016-03-15,97044264.62986311
50,2016-03-16,97232399.90091452
51,2016-03-17,98391969.03341231
52,2016-03-18,99135969.69313368
53,2016-03-21,99187981.91020331
54,2016-03-22,98866536.78140387
55,2016-03-23,98417178.37992224
56,2016-03-24,98561303.27326903
57,2016-03-28,98927232.71460852
58,2016-03-29,99463173.95571837
59,2016-03-30,100082876.99544844
60,2016-03-31,99962725.5749887
61,2016-04-01,100610826.67105421
62,2016-04-04,100122163.44163832
63,2016-04-05,99145312.78409895
64,2016-04-06,99738611.7925733
65,2016-04-07,98403265.17145094
66,2016-04-08,98834457.22788748
67,2016-04-11,98763158.96652159
68,2016-04-12,99746454.2797521
69,2016-04-13,100957988.22390112
70,2016-04-14,101256684.85522398
71,2016-04-15,100981446.27416548
72,2016-04-18,101634281.77664313
73,2016-04-19,101538920.10913405
74,2016-04-20,102162458.25673613
75,2016-04-21,101375371.90712485
76,2016-04-22,101615691.63514647
77,2016-04-25,101240702.36373267
78,2016-04-26,101522286.43754324
79,2016-04-27,101895543.74704108
80,2016-04-28,100675637.87867483
81,2016-04-29,100428120.40002188
82,2016-05-02,101278896.22948202
83,2016-05-03,100161803.64639601
84,2016-05-04,99452065.24186453
85,2016-05-05,99546414.17243323
86,2016-05-06,99995018.22113547
87,2016-05-09,99844505.69977888
88,2016-05-10,101342615.39085516
89,2016-05-11,100254613.75378737
90,2016-05-12,100289605.24340758
91,2016-05-13,99174149.03750357
92,2016-05-16,100131077.05395827
93,2016-05-17,99198704.76165709
94,2016-05-18,99662942.99686942
95,2016-05-19,99129923.0788568
96,2016-05-20,99636763.90210089
97,2016-05-23,99474443.84826025
98,2016-05-24,100723701.8284963
99,2016-05-25,101692123.85842642
100,2016-05-26,101530013.6834825
101,2016-05-27,101878684.483394
102,2016-05-31,101502631.7904447
103,2016-06-01,101490248.72558913
104,2016-06-02,101516423.921388
105,2016-06-03,100922771.10216269
106,2016-06-06,101303869.97934088
107,2016-06-07,101545583.05016455
108,2016-06-08,101805804.29354796
109,2016-06-09,101481393.95897421
110,2016-06-10,100597228.38581213
111,2016-06-13,99958785.50370154
112,2016-06-14,99656268.04455122
113,2016-06-15,99593436.15654692
114,2016-06-16,100204293.8938497
115,2016-06-17,99764195.70070776
116,2016-06-20,100499127.03621611
117,2016-06-21,100801694.66137251
118,2016-06-22,100420044.84449133
119,2016-06-23,101933654.29686865
120,2016-06-24,97958700.75441489
121,2016-06-27,96465248.25643095
122,2016-06-28,98459047.69043097
123,2016-06-29,100243793.36873373
124,2016-06-30,101590523.81413206
125,2016-07-01,101740802.42575774
126,2016-07-05,101005555.17068228
127,2016-07-06,101798258.13575873
128,2016-07-07,101659411.10872015
129,2016-07-08,103154073.37299284
130,2016-07-11,103630958.33054861
131,2016-07-12,104510802.12620673
132,2016-07-13,104555488.15513739
133,2016-07-14,105591655.10525832
134,2016-07-15,105658659.32702574
135,2016-07-18,105750026.91322646
136,2016-07-19,105571669.83749709
137,2016-07-20,105667230.3387712
138,2016-07-21,105051036.03119025
139,2016-07-22,105183251.60947165
140,2016-07-25,104542419.12161192
141,2016-07-26,104383736.66100249
142,2016-07-27,104178235.86381087
143,2016-07-28,104197140.36009917
144,2016-07-29,103627389.97128233
145,2016-08-01,103203164.1594747
146,2016-08-02,102849496.4395288
147,2016-08-03,103372685.74043974
148,2016-08-04,103415715.11432394
149,2016-08-05,104746585.03196654
150,2016-08-08,104799116.8253034
151,2016-08-09,104865294.16787276
152,2016-08-10,104425221.54536757
153,2016-08-11,105077305.0195249
154,2016-08-12,105006051.90850577
155,2016-08-15,105404985.49085554
156,2016-08-16,105101688.71370444
157,2016-08-17,105254918.52863058
158,2016-08-18,105566827.29775175
159,2016-08-19,105167464.77574286
160,2016-08-22,105188908.82945189
161,2016-08-23,105092773.70401892
162,2016-08-24,104857459.38506445
163,2016-08-25,104753137.13638243
164,2016-08-26,104583751.60422644
165,2016-08-29,105220665.94631895
166,2016-08-30,105347916.63366446
167,2016-08-31,105130319.34872183
