,date,account_value
0,2016-01-04,100000000.0
1,2016-01-05,99992952.62835644
2,2016-01-06,99721079.11727579
3,2016-01-07,98904854.40076062
4,2016-01-08,98354708.6074869
5,2016-01-11,98414971.46144563
6,2016-01-12,98651072.17570497
7,2016-01-13,97168019.68017071
8,2016-01-14,97986929.49238199
9,2016-01-15,95859661.67697665
10,2016-01-19,95812765.5384499
11,2016-01-20,94010574.58532557
12,2016-01-21,95048147.22268713
13,2016-01-22,96365917.23557244
14,2016-01-25,96221368.36148599
15,2016-01-26,96381935.90733708
16,2016-01-27,95936588.56456019
17,2016-01-28,96186842.99228142
18,2016-01-29,97004051.74833977
19,2016-02-01,97121636.3112418
20,2016-02-02,96634689.54086626
21,2016-02-03,97729591.2952329
22,2016-02-04,97869011.65399247
23,2016-02-05,96346038.3615118
24,2016-02-08,95343378.9115257
25,2016-02-09,95274651.99530376
26,2016-02-10,94673564.2587719
27,2016-02-11,92396351.13868205
28,2016-02-12,92257756.63828722
29,2016-02-16,92410560.8687526
30,2016-02-17,92737949.9846357
31,2016-02-18,92850307.7299798
32,2016-02-19,92790684.42577253
33,2016-02-22,93362392.04545747
34,2016-02-23,92758097.19021562
35,2016-02-24,92834248.60362208
36,2016-02-25,94007688.51598358
37,2016-02-26,93976839.09585905
38,2016-02-29,93252361.75343908
39,2016-03-01,95469895.65830728
40,2016-03-02,95451125.37074105
41,2016-03-03,95423890.82392447
42,2016-03-04,95844529.93262984
43,2016-03-07,95480383.87818852
44,2016-03-08,94808399.46849619
45,2016-03-09,94932269.46226059
46,2016-03-10,94906749.38808814
47,2016-03-11,96382482.58666682
48,2016-03-14,96538547.16537037
49,2016-03-15,96769035.72102892
50,2016-03-16,97334203.18671174
51,2016-03-17,98560398.86228555
52,2016-03-18,99409719.25581641
53,2016-03-21,100036804.5005447
54,2016-03-22,99673037.0452979
55,2016-03-23,98854040.25921525
56,2016-03-24,98765889.9789322
57,2016-03-28,98653279.12718172
58,2016-03-29,99010121.60060664
59,2016-03-30,99225675.35738756
60,2016-03-31,98718417.01512343
61,2016-04-01,99303224.57631427
62,2016-04-04,98674739.76746807
63,2016-04-05,98162805.01273867
64,2016-04-06,98836832.24514604
65,2016-04-07,97977520.42871778
66,2016-04-08,98229594.3443082
67,2016-04-11,97866167.93606491
68,2016-04-12,98916167.82160464
69,2016-04-13,100244466.63197935
70,2016-04-14,100440954.90063427
71,2016-04-15,100399138.01093443
72,2016-04-18,101050145.7564674
73,2016-04-19,101162868.52963172
74,2016-04-20,100887351.15789035
75,2016-04-21,100883050.29684256
76,2016-04-22,100638546.0577584
77,2016-04-25,100391033.52688462
78,2016-04-26,101075909.35759749
79,2016-04-27,101570506.9955268
80,2016-04-28,100519752.8966342
81,2016-04-29,100048200.40959163
82,2016-05-02,100547026.7289099
83,2016-05-03,99469920.04956104
84,2016-05-04,98817561.91993661
85,2016-05-05,98752844.95604861
86,2016-05-06,99341517.24792315
87,2016-05-09,99237271.35584216
88,2016-05-10,100582692.27036792
89,2016-05-11,99397194.9318554
90,2016-05-12,99988155.11900562
91,2016-05-13,98806104.40445043
92,2016-05-16,99754780.49342601
93,2016-05-17,98832015.36438303
94,2016-05-18,98582174.36024679
95,2016-05-19,98096971.35132302
