account_rewards,date
-1656474.948755011,2022-04-07
-628181.3837299794,2022-04-08
1599163.0540249944,2022-04-12
-753338.6123999953,2022-04-13
-41322.34932002425,2022-04-14
-812196.8674399853,2022-04-15
-1938286.3285049796,2022-04-18
-983112.1975000203,2022-04-19
-341823.95999999344,2022-04-20
2612528.328150004,2022-04-21
-4065978.219999999,2022-04-22
2510216.469999999,2022-04-25
233433.0,2022-04-26
-1211270.742929995,2022-04-27
-284293.8120600134,2022-04-28
-1756546.949999988,2022-04-29
152507.67999999225,2022-05-04
-2478013.194784999,2022-05-05
-2125987.6732199937,2022-05-06
1209799.9936399907,2022-05-09
-963026.8550750017,2022-05-10
-4097430.319999993,2022-05-11
-2461341.13000001,2022-05-12
-1425943.7099999934,2022-05-13
-125461.87363499403,2022-05-16
507526.25880999863,2022-05-17
-100996.08746999502,2022-05-18
-302656.19774000347,2022-05-19
-896288.1195449829,2022-05-20
1600608.1904399842,2022-05-23
2528817.6920700073,2022-05-24
-317878.9163399935,2022-05-25
1729829.0960499942,2022-05-26
44324.52931500971,2022-05-27
2016944.2451399863,2022-05-30
1304953.251875013,2022-05-31
-1515071.1605200171,2022-06-01
917429.8667500019,2022-06-02
2119723.821510002,2022-06-03
20077.64999999106,2022-06-06
54882.635025024414,2022-06-07
-753354.5,2022-06-08
-3260760.380000025,2022-06-09
-2336110.599999994,2022-06-10
2539409.379999995,2022-06-13
-1536942.7099999785,2022-06-14
3410911.569999993,2022-06-15
553325.1700000018,2022-06-16
-2285319.829999998,2022-06-17
1008035.2700000107,2022-06-20
-3891249.0600000173,2022-06-21
-130013.93702998757,2022-06-22
-84483.43134500086,2022-06-23
66717.81250998378,2022-06-24
504907.7245900035,2022-06-27
397174.3488049805,2022-06-28
-901775.7986449897,2022-06-29
98756.83748500049,2022-06-30
-159413.46796999872,2022-07-01
-2353986.554575026,2022-07-04
-2872804.5464399755,2022-07-05
956267.2562299967,2022-07-06
