,date,account_value
0,2020-09-30,100000000.0
1,2020-10-01,100120759.05615501
2,2020-10-02,100108742.224975
3,2020-10-05,100380806.040325
4,2020-10-06,100498852.62384501
5,2020-10-07,101710310.310425
6,2020-10-08,102275984.572715
7,2020-10-09,103979753.204165
8,2020-10-12,105444487.88406001
9,2020-10-13,107410098.50406
10,2020-10-14,109746259.06406
11,2020-10-15,111162877.26406
12,2020-10-16,111178629.03405999
13,2020-10-19,111635492.10406001
14,2020-10-20,111953929.94406001
15,2020-10-21,111058419.82406001
16,2020-10-22,113283176.67406
17,2020-10-23,115304600.18405999
18,2020-10-26,115267846.94406001
19,2020-10-27,115630604.21406001
20,2020-10-28,112244987.90405999
21,2020-10-29,111307000.34406
22,2020-10-30,113071830.92406
23,2020-11-02,113934835.78406
24,2020-11-03,112995985.15406
25,2020-11-04,113291132.02406
26,2020-11-05,114539808.37406
27,2020-11-06,115243618.54406
28,2020-11-09,118125824.17406
29,2020-11-10,117904558.25406
30,2020-11-11,118151637.92406
31,2020-11-12,118235666.55406
32,2020-11-13,117975917.50406
33,2020-11-16,113642142.96406
34,2020-11-17,116933173.28406
35,2020-11-18,117345360.58406
36,2020-11-19,117997405.87406
37,2020-11-20,118299943.79406
38,2020-11-23,119269821.38406001
39,2020-11-24,118854777.56406002
40,2020-11-25,119472548.74406
41,2020-11-26,120505511.64406
42,2020-11-27,120582941.48406
43,2020-11-30,119004088.13406001
44,2020-12-01,119679282.82406001
45,2020-12-02,120065114.87406
46,2020-12-03,120920348.13406001
47,2020-12-04,121840074.63406001
48,2020-12-07,122693198.09406
49,2020-12-08,122316056.49406001
50,2020-12-09,123330200.61406
51,2020-12-10,121840796.29406
52,2020-12-11,123658856.74406001
53,2020-12-14,125530069.78406
54,2020-12-15,123874709.89406
55,2020-12-16,124450742.77406
56,2020-12-17,122230790.59406
57,2020-12-18,123473166.08406
58,2020-12-21,124720345.99406001
59,2020-12-22,123950763.61406
60,2020-12-23,123701144.58406
61,2020-12-24,123228362.46406001
62,2020-12-25,123915442.29406
63,2020-12-28,124865457.25406
64,2020-12-29,125544961.68405999
65,2020-12-30,125973702.51406
66,2020-12-31,127878576.71406001
67,2021-01-04,129061603.67406
68,2021-01-05,130129735.99406
69,2021-01-06,131863535.80406001
70,2021-01-07,134286034.95406
71,2021-01-08,134786157.58405998
72,2021-01-11,135932548.24405998
73,2021-01-12,136748705.19406
74,2021-01-13,134998622.19406
75,2021-01-14,134299898.85406
76,2021-01-15,134829049.91405997
77,2021-01-18,134667179.29405996
78,2021-01-19,126825947.54406
79,2021-01-20,127340251.17406002
80,2021-01-21,130110900.55406001
81,2021-01-22,130405526.14406
82,2021-01-25,130765203.99406001
83,2021-01-26,127385524.26406
84,2021-01-27,122759187.79406
85,2021-01-28,114205401.68405999
86,2021-01-29,118158328.78406002
87,2021-02-01,116301844.38406001
88,2021-02-02,116127391.61853999
