,date,account_value
0,2020-09-30,100000000.0
1,2020-10-01,100017560.68681
2,2020-10-02,99989406.32203501
3,2020-10-05,100018127.55055499
4,2020-10-06,100068311.85654
5,2020-10-07,100062147.56867497
6,2020-10-08,100053373.19441494
7,2020-10-09,100085769.76930994
8,2020-10-12,100110764.47719996
9,2020-10-13,100089192.86166996
10,2020-10-14,100278421.34996995
11,2020-10-15,100394397.75018495
12,2020-10-16,100402640.21805492
13,2020-10-19,100418231.30183493
14,2020-10-20,100461439.47453994
15,2020-10-21,100226264.22419493
16,2020-10-22,100461978.93352492
17,2020-10-23,101034597.21317494
18,2020-10-26,100791993.08672492
19,2020-10-27,100712984.52326494
20,2020-10-28,99960038.75509496
21,2020-10-29,100021912.39519495
22,2020-10-30,100039038.00532997
23,2020-11-02,100375728.49436995
24,2020-11-03,100419582.61847994
25,2020-11-04,100509520.60958995
26,2020-11-05,100368716.81781495
27,2020-11-06,100327087.31766495
28,2020-11-09,100924320.12391494
29,2020-11-10,100656203.92382994
30,2020-11-11,100619158.74263993
31,2020-11-12,100968680.62918493
32,2020-11-13,101554041.10263494
33,2020-11-16,101355742.89922993
34,2020-11-17,102478036.49331993
35,2020-11-18,103351375.77190994
36,2020-11-19,104088805.25992994
37,2020-11-20,104757843.69123994
38,2020-11-23,105522509.73035495
39,2020-11-24,105617963.41779995
40,2020-11-25,105100400.96779996
41,2020-11-26,104830018.53250495
42,2020-11-27,105799843.57835995
43,2020-11-30,104897841.39922997
44,2020-12-01,105261304.47775999
45,2020-12-02,105582504.97102997
46,2020-12-03,106609179.30460498
47,2020-12-04,105965574.93810998
48,2020-12-07,107525063.84114498
49,2020-12-08,108201987.38629998
50,2020-12-09,109487759.91357496
51,2020-12-10,109392289.70868498
52,2020-12-11,110836957.12439498
53,2020-12-14,112822793.09398998
54,2020-12-15,111260713.86756997
55,2020-12-16,112264531.16052498
56,2020-12-17,109851702.58832997
57,2020-12-18,112473092.25053498
58,2020-12-21,113796870.44175997
59,2020-12-22,114101225.30852999
60,2020-12-23,114100093.29422997
61,2020-12-24,113419563.86164998
62,2020-12-25,115289385.12174498
63,2020-12-28,116703171.60818498
64,2020-12-29,117174239.87875497
65,2020-12-30,116341422.74114498
66,2020-12-31,117517941.46503998
67,2021-01-04,119187723.10355997
68,2021-01-05,120511306.21660998
69,2021-01-06,122233240.54118498
70,2021-01-07,123296019.88870499
71,2021-01-08,123590821.46948999
72,2021-01-11,124350832.81730999
73,2021-01-12,126074388.56943497
74,2021-01-13,124673957.61496998
75,2021-01-14,125123095.06514998
76,2021-01-15,126296539.489615
77,2021-01-18,125405926.07161497
78,2021-01-19,117825483.27139497
79,2021-01-20,117837968.07124999
80,2021-01-21,121995214.09281498
81,2021-01-22,120750482.07719497
82,2021-01-25,120283136.19832498
83,2021-01-26,116886700.929795
84,2021-01-27,112089995.48627
85,2021-01-28,104330507.75721498
86,2021-01-29,109508980.35082498
87,2021-02-01,106531413.27128497
88,2021-02-02,106372746.710155
89,2021-02-03,106436957.18518999
90,2021-02-04,106417973.95504998
91,2021-02-05,106528658.60728998
92,2021-02-08,106205257.41656499
93,2021-02-09,106469721.93202499
94,2021-02-17,106830577.47077997
95,2021-02-18,106947494.35614997
96,2021-02-19,106882891.83027498
97,2021-02-22,106791733.66338499
98,2021-02-23,106843180.219015
99,2021-02-24,106680735.57841
100,2021-02-25,106741617.14891501
101,2021-02-26,107001659.46488
102,2021-03-01,107504908.038725
103,2021-03-02,107535955.23668
104,2021-03-03,107417942.92918502
105,2021-03-04,106748208.10309002
106,2021-03-05,106688573.12654504
107,2021-03-08,106644806.70449
108,2021-03-09,106244760.15586
109,2021-03-10,106413267.610735
110,2021-03-11,107066187.62198001
111,2021-03-12,106896922.80716002
112,2021-03-15,107039150.76828502
113,2021-03-16,106566385.21582001
114,2021-03-17,106641966.27177504
115,2021-03-18,107396675.13822503
116,2021-03-19,107075519.59335504
117,2021-03-22,107096570.49376504
118,2021-03-23,106601672.01223505
119,2021-03-24,105189799.68757004
120,2021-03-25,104907987.59721506
121,2021-03-26,105226127.55234505
122,2021-03-29,105912385.94678006
123,2021-03-30,106068177.36849506
124,2021-03-31,106038372.83913505
125,2021-04-01,108543512.94050005
126,2021-04-02,109463131.57432005
127,2021-04-05,110800219.50868006
128,2021-04-06,111033469.05950005
129,2021-04-07,111098141.23737505
130,2021-04-08,110355987.12561506
131,2021-04-09,110007300.97048002
132,2021-04-12,111846502.51871507
133,2021-04-13,110445789.34030005
134,2021-04-14,112454918.05614504
135,2021-04-15,112356596.34579007
136,2021-04-16,111270774.62060505
137,2021-04-19,114090332.64971507
138,2021-04-20,115110414.73163506
139,2021-04-22,111769446.84213006
140,2021-04-23,114036352.71601006
141,2021-04-26,109979366.25206506
142,2021-04-27,110773557.21057005
143,2021-04-28,110540808.71400006
144,2021-04-29,112096792.11566505
145,2021-05-04,113136301.97114007
146,2021-05-05,113872750.43574506
147,2021-05-06,112577267.68155506
148,2021-05-07,112182491.18856506
149,2021-05-10,116295515.75168006
150,2021-05-11,114797364.17818506
151,2021-05-12,115485871.17284508
152,2021-05-13,114036362.40639506
153,2021-05-14,113806780.37273006
154,2021-05-17,113303970.64410006
155,2021-05-18,113303808.10345505
156,2021-05-19,115219223.25181507
157,2021-05-20,118003995.52646007
158,2021-05-21,117827168.57648008
159,2021-05-24,117839929.96572007
160,2021-05-25,117939335.6913101
161,2021-05-26,118011342.15365508
162,2021-05-27,117843580.39824508
163,2021-05-28,118025765.8409451
164,2021-05-31,118460937.21845011
165,2021-06-01,118915323.92288512
166,2021-06-02,118932058.72076009
167,2021-06-03,119444643.83172509
168,2021-06-04,119398053.11974509
169,2021-06-07,118696201.16358009
170,2021-06-08,117425448.43465507
171,2021-06-09,117985168.49519506
172,2021-06-10,118397220.41204005
173,2021-06-11,119404762.10222003
174,2021-06-14,119861927.86141503
175,2021-06-15,119837160.65795001
176,2021-06-16,118955898.43343002
177,2021-06-17,119150569.169875
178,2021-06-18,119986460.78251
179,2021-06-21,119112383.62178501
180,2021-06-22,119749563.54256001
181,2021-06-23,119834257.193295
182,2021-06-24,119559947.322855
183,2021-06-25,120607711.009065
184,2021-06-28,121608736.91226001
185,2021-06-29,121908476.14186499
186,2021-06-30,122051454.20219998
187,2021-07-01,123336580.24275498
188,2021-07-02,122861841.89787498
189,2021-07-05,121547335.80995998
190,2021-07-06,117400848.99481498
191,2021-07-07,120110812.16285995
192,2021-07-08,118983677.88176496
193,2021-07-09,116968753.97771497
194,2021-07-12,113540978.30504498
195,2021-07-13,113601349.61196496
196,2021-07-14,112418457.97695999
197,2021-07-15,114598183.31986997
198,2021-07-16,114548172.79957497
199,2021-07-19,109484209.13754998
